px1,py1,pz1,E1,px2,py2,pz2,E2
15.5337,-6.13311,6.35927,17.8707,9.81079,-4.40043,4.36018,11.6033
21.5119,6.94004,-10.6482,24.9864,15.954,4.76579,9.06807,18.96
4.28762,-42.3809,20.2193,47.1525,1.95195,26.2532,-35.3702,44.092
-18.4832,-3.2641,85.8346,87.8629,14.9968,-0.686179,-18.8306,24.0828
-37.0714,-24.3953,-18.0979,47.9267,26.6016,2.26392,48.2118,55.1105
16.9285,6.49224,-44.946,48.4652,8.85625,5.24617,-21.6588,23.9806
6.39221,25.5808,52.2739,58.5475,-5.21356,-18.7472,28.0328,34.1246
1.13037,20.0235,-6.13134,20.972,3.63231,12.6655,-6.25951,14.5877
24.7835,-6.85304,-5.64569,26.3262,8.13466,-1.46174,-1.03073,8.32964
2.66966,-13.0913,-59.7413,61.2172,3.93386,10.3028,6.80794,12.9608
17.2297,18.3372,17.0366,30.387,-11.8779,-21.0528,-72.0454,75.9925
-1.65313,47.9976,-35.8273,59.9175,8.56419,-35.831,0.503832,36.8439
-4.16506,4.0705,-1.51814,6.01936,-3.0799,-3.45521,11.4322,12.3341
17.1796,-6.14134,-49.1796,52.4547,15.4183,-4.73727,-49.3138,51.8847
6.26724,0.71127,6.37384,8.96779,3.53448,5.13029,-12.6477,14.0992
31.5939,0.417811,-60.6288,68.3682,-6.96096,8.05926,11.8416,15.9262
10.5661,8.31109,-17.9465,22.4233,-4.43993,-4.33913,-15.68,16.8646
-5.53768,12.584,53.9526,55.6769,6.47754,0.718423,-7.41703,9.87411
-0.544936,-20.4693,-92.2947,94.539,-0.577414,-20.38,-100.736,102.779
-10.6722,-14.9144,77.957,80.0852,-3.98941,-4.73447,26.8101,27.5159
-17.5168,42.5676,-67.1251,81.3918,23.0328,-31.72,-27.5358,47.9051
16.7421,-7.56096,7.94891,20.0166,-13.4513,1.16532,30.4972,33.3524
41.6386,-22.7374,30.2303,56.2552,-37.9169,24.4769,25.4607,51.8177
-10.9871,-8.04162,-25.6193,29.0128,3.30314,-1.78988,3.84288,5.37525
-8.35049,-15.5005,21.3812,27.6977,-0.670646,10.4297,9.34568,14.0207
-12.0204,-12.2036,12.6145,21.2734,14.5985,0.257087,-6.31202,15.9071
15.1916,8.29318,-44.1874,47.4563,11.9429,6.34477,-38.5965,40.8973
7.54522,-29.55,-132.333,135.802,6.36944,-28.1968,-127.266,130.508
-25.4164,31.1377,22.743,46.1823,-16.0433,17.1874,11.6786,26.2525
20.3036,-1.88562,-19.9769,28.5461,6.90047,3.12699,-14.6333,16.4784
2.4521,-10.602,-6.42121,12.6356,6.06189,5.57306,7.45805,11.1103
-70.506,-53.5328,-422.608,431.781,12.2493,11.1516,-10.808,19.7794
-8.37162,28.0994,4.27684,29.6305,10.6429,-23.6052,-95.5909,99.0358
-11.8717,-12.6811,12.7555,21.5514,-1.70879,-2.60769,-6.57246,7.2752
-130.598,-282.803,138.775,341.016,-34.1863,-73.6505,36.6139,89.0713
-37.7282,-1.27126,52.6409,64.7774,19.6827,3.28317,6.45548,20.9731
-16.7204,-1.98485,87.1354,88.7474,-11.6364,1.24898,62.3353,63.4245
-28.1914,-9.30601,139.897,143.012,19.5023,14.898,-0.587234,24.5489
-25.852,17.6897,11.245,33.2824,-7.83732,6.12748,3.44891,10.5298
38.2516,-1.82858,-46.9032,60.5512,-27.9902,-20.7394,17.7322,39.0898
-5.69564,8.76634,42.6671,43.9292,-7.70225,-3.08398,3.0905,8.85426
46.5812,-32.0419,-72.7915,92.1689,-24.9925,-18.4805,-162.543,165.488
30.4796,14.0234,-6.62908,34.1996,18.6771,9.36507,-1.74144,20.9662
8.4117,26.7028,21.193,35.1134,-7.75868,4.59463,-1.10692,9.08539
27.5034,18.7118,22.6655,40.253,-26.0716,7.22953,99.4263,103.042
-25.0124,20.3347,-81.2677,87.4275,-5.73018,5.8175,-12.5722,14.9917
29.1492,-10.8031,-2.57056,31.193,10.6142,27.9623,134.473,137.759
-23.2767,29.8312,54.8353,66.623,22.1044,-24.7072,-8.67334,34.2678
-5.38015,-37.7395,-88.1731,96.061,-21.1394,29.8799,-5.04342,36.9477
-0.413916,-5.20537,-10.3297,11.575,2.83554,3.58417,12.3741,13.1915
33.9212,-37.9061,-27.1668,57.6677,-29.0203,33.1712,-31.8046,54.3512
-13.28,3.8436,5.07781,14.7284,4.4355,-0.142211,11.5727,12.3948
16.7861,-6.084,7.94833,19.5442,-12.5305,5.77152,1.69439,13.8999
-1.82176,-32.1266,-56.9818,65.4398,-1.32564,-10.7402,-16.8514,20.0272
11.8965,-7.88721,0.160493,14.2749,-1.96874,3.29132,-13.4963,14.0311
25.6152,-29.8778,-46.6962,61.0686,-21.8667,28.7407,4.94055,36.45
-9.54703,-7.12458,17.1513,20.8826,3.97311,1.7774,6.78759,8.06395
36.6077,-3.19539,-45.4763,58.4674,28.0425,-6.5997,-37.2401,47.0826
38.4536,33.5587,-147.177,155.775,-35.2755,-27.6351,-100.733,110.251
35.1558,55.8856,33.3493,73.9684,-44.8098,-17.5116,-18.7599,51.6383
34.0262,37.8836,-262.078,266.979,-20.2564,-37.5129,-171.825,177.035
11.9917,-8.1072,10.25,17.737,3.96454,-2.74281,3.99632,6.26277
-4.84607,16.2804,23.0732,28.6517,-9.29451,-4.11708,15.5422,18.5717
12.369,-3.72697,1.33171,12.9872,-7.75385,-7.83366,-10.7401,15.3899
2.10048,-7.27052,-33.9916,34.8241,-4.044,-0.504102,8.06832,9.03975
-71.9552,-35.2528,43.8384,91.3353,-9.42507,-32.5927,-31.7652,46.4775
10.7485,-14.0527,-0.902729,17.7154,6.1791,-8.97363,-1.31387,10.9747
60.7626,16.3198,-29.0201,69.2864,-32.2563,-32.9404,-48.8648,67.1812
-0.25272,17.5382,-39.4497,43.1734,1.36941,-13.0891,-5.32191,14.1962
0.246955,-31.6276,-75.8633,82.1926,-6.74527,24.1635,12.0981,27.8523
-13.8704,11.4234,33.2258,37.7736,-13.7904,9.91866,29.6612,34.1812
-4.58631,68.7049,82.0417,107.109,-50.7518,-6.42712,93.9644,106.988
47.3305,-15.362,18.7629,53.1811,-32.6591,22.0677,-17.1472,42.9842
-7.94495,-7.82548,3.47055,11.6797,-2.06675,2.89424,3.40684,4.92603
11.5033,-14.9826,4.93355,19.5232,6.78785,-12.0107,5.42482,14.8247
-8.95675,-13.8299,-4.75826,17.1506,-2.97623,-5.70341,-4.99261,8.14396
82.0623,-61.9144,-340.938,356.098,-17.2975,8.80165,-58.1889,61.3403
-15.921,23.9124,-77.0566,82.2376,6.42934,-12.104,49.1322,51.0081
-35.2681,-33.3735,59.9581,77.1532,20.416,39.2412,50.9077,67.441
-6.56666,-4.92545,0.354953,8.21695,-5.93963,-4.26766,-2.60939,7.7661
-10.0083,-14.5496,-18.3826,25.4909,-3.57945,-12.378,-4.31418,13.5887
-47.1688,-6.13725,-84.8473,97.271,40.9091,-23.3644,-130.881,139.102
45.8385,-33.1654,-53.8931,78.1383,-18.8755,10.4436,18.2052,28.2275
20.2203,25.3928,61.2464,69.3166,-5.30289,-7.6689,11.897,15.1156
-47.5366,12.7826,5.55497,49.5378,41.1304,-4.85106,-4.25479,41.6336
-4.975,-21.0407,9.17599,23.4877,-5.34748,-15.6077,8.85469,18.7247
51.2458,-52.7956,-414.092,420.578,-5.79541,-18.9607,43.2283,47.5583
30.6845,-35.9058,71.164,85.4114,-28.0304,36.1413,66.618,80.8076
29.2182,6.30852,-34.7804,45.8605,12.9115,3.31113,-14.2489,19.5118
-16.3231,8.4569,15.6233,24.1259,-10.355,7.89416,9.40792,16.0644
-15.5552,-1.55444,23.0335,27.8376,5.58851,-1.32748,-4.34904,7.20548
-41.1023,-21.9096,57.8773,74.2915,10.6525,-2.08346,1.14475,10.915
